algorithm,input,n,time_ms,max_depth,comparisons
MergeSort,random,1000,0.063,7,10334
QuickSort,random,1000,0.093,8,11911
DeterministicSelect,random,1000,0.071,9,7323
ClosestPair,random,1000,0.485,11,8709
MergeSort,sorted,1000,0.025,7,3956
QuickSort,sorted,1000,0.031,7,10967
DeterministicSelect,sorted,1000,0.100,8,5234
ClosestPair,sorted,1000,0.163,11,8717
MergeSort,reverse,1000,0.044,7,10300
QuickSort,reverse,1000,0.029,8,10471
DeterministicSelect,reverse,1000,0.165,8,7486
ClosestPair,reverse,1000,0.154,11,8724
MergeSort,duplicates,1000,0.044,7,9815
QuickSort,duplicates,1000,0.012,3,2982
DeterministicSelect,duplicates,1000,0.068,5,3069
ClosestPair,duplicates,1000,0.365,11,8713
MergeSort,random,10000,0.905,11,126854
QuickSort,random,10000,0.619,10,157096
DeterministicSelect,random,10000,1.657,11,80280
ClosestPair,random,10000,3.364,15,120438
MergeSort,sorted,10000,0.458,11,59248
QuickSort,sorted,10000,0.339,10,155742
DeterministicSelect,sorted,10000,0.086,12,56416
ClosestPair,sorted,10000,1.323,15,120422
MergeSort,reverse,10000,0.284,11,93648
QuickSort,reverse,10000,0.342,10,155765
DeterministicSelect,reverse,10000,0.102,12,78902
ClosestPair,reverse,10000,1.431,15,120439
MergeSort,duplicates,10000,0.932,11,121370
QuickSort,duplicates,10000,0.110,3,39146
DeterministicSelect,duplicates,10000,0.109,7,35522
ClosestPair,duplicates,10000,2.758,15,120232
MergeSort,random,50000,3.149,13,770086
QuickSort,random,50000,3.567,11,964099
DeterministicSelect,random,50000,1.269,15,411423
ClosestPair,random,50000,23.639,17,718177
MergeSort,sorted,50000,0.921,13,347008
QuickSort,sorted,50000,1.890,11,962530
DeterministicSelect,sorted,50000,0.446,14,287915
ClosestPair,sorted,50000,7.709,17,718186
MergeSort,reverse,50000,1.156,13,579408
QuickSort,reverse,50000,1.834,11,922777
DeterministicSelect,reverse,50000,0.513,14,400411
ClosestPair,reverse,50000,7.223,17,718165
MergeSort,duplicates,50000,1.688,13,732992
QuickSort,duplicates,50000,0.506,4,194370
DeterministicSelect,duplicates,50000,0.503,8,157683
ClosestPair,duplicates,50000,9.748,17,716380
MergeSort,random,100000,6.785,14,1638612
QuickSort,random,100000,7.045,11,2130687
DeterministicSelect,random,100000,2.375,16,825189
ClosestPair,random,100000,29.025,18,1536375
MergeSort,sorted,100000,1.843,14,744016
QuickSort,sorted,100000,3.571,12,1983136
DeterministicSelect,sorted,100000,0.816,15,582685
ClosestPair,sorted,100000,14.963,18,1535975
MergeSort,reverse,100000,2.339,14,1208816
QuickSort,reverse,100000,3.651,12,1992918
DeterministicSelect,reverse,100000,0.960,15,807748
ClosestPair,reverse,100000,15.344,18,1536317
MergeSort,duplicates,100000,3.459,14,1562943
QuickSort,duplicates,100000,1.050,3,379702
DeterministicSelect,duplicates,100000,1.057,8,308726
ClosestPair,duplicates,100000,18.041,18,1532949
MergeSort,random,500000,37.824,16,9613854
QuickSort,random,500000,39.056,13,11620801
DeterministicSelect,random,500000,11.919,18,4219449
ClosestPair,random,500000,184.908,20,8837291
MergeSort,sorted,500000,10.747,16,4226160
QuickSort,sorted,500000,20.163,13,11899977
DeterministicSelect,sorted,500000,4.242,17,2937897
ClosestPair,sorted,500000,87.830,20,8837383
MergeSort,reverse,500000,13.509,16,7308912
QuickSort,reverse,500000,19.854,13,11749604
DeterministicSelect,reverse,500000,4.860,17,4062971
ClosestPair,reverse,500000,87.886,20,8836446
MergeSort,duplicates,500000,18.664,16,9129313
QuickSort,duplicates,500000,5.277,3,1549156
DeterministicSelect,duplicates,500000,5.103,9,1547286
ClosestPair,duplicates,500000,101.951,20,8812788
MergeSort,random,1000000,80.521,17,20225445
QuickSort,random,1000000,84.319,13,25877213
DeterministicSelect,random,1000000,24.356,19,8367705
ClosestPair,random,1000000,443.882,21,18673954
MergeSort,sorted,1000000,24.096,17,8952320
QuickSort,sorted,1000000,42.775,14,25886952
DeterministicSelect,sorted,1000000,8.421,18,5922491
ClosestPair,sorted,1000000,197.283,21,18673889
MergeSort,reverse,1000000,28.917,17,15117824
QuickSort,reverse,1000000,40.659,14,26788869
DeterministicSelect,reverse,1000000,9.616,18,8172676
ClosestPair,reverse,1000000,199.186,21,18673097
MergeSort,duplicates,1000000,39.641,17,19205519
QuickSort,duplicates,1000000,9.953,4,2999467
DeterministicSelect,duplicates,1000000,10.306,9,3089895
ClosestPair,duplicates,1000000,249.819,21,18620069
